rater,dyad,trialNum,turnNum,repNum,refType,refExp
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,7,2,2,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,8,0,2,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,8,2,2,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,9,0,3,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,9,2,3,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,10,0,3,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,10,2,3,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,11,0,3,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,11,2,3,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,0,0,block,3
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,2,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,4,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,6,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,8,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,10,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,0,12,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1,0,0,block,2
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1,2,0,block,2
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1,4,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1,6,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1,8,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1,10,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,2,0,0,block,2
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,2,2,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,2,4,0,block,2
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,2,6,0,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,3,0,1,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,3,2,1,block,6
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,4,0,1,block,2
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,4,2,1,block,4
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,5,0,1,block,1
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,6,0,2,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,7,0,2,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,8,0,2,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,9,0,3,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,10,0,3,block,0
Julia,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,11,0,3,block,0
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,0,0,block,2
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,2,0,block,2
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,4,0,block,0
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,6,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,8,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,10,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,12,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,14,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,0,16,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,0,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,2,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,4,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,6,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,8,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,10,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,12,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,1,14,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,0,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,2,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,4,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,6,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,8,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,10,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,12,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,14,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,2,16,0,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,0,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,2,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,4,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,6,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,8,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,10,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,12,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,3,14,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,0,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,2,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,4,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,6,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,8,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,10,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,12,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,14,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,16,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,4,18,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,0,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,2,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,4,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,6,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,8,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,10,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,12,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,5,14,1,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,0,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,2,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,4,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,6,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,8,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,10,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,12,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,6,14,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,0,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,2,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,4,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,6,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,8,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,10,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,12,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,7,14,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,0,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,2,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,4,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,6,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,8,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,10,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,12,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,8,14,2,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,0,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,2,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,4,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,6,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,8,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,10,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,12,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,9,14,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,0,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,2,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,4,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,6,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,8,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,10,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,12,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,10,14,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,0,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,2,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,4,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,6,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,8,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,10,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,12,3,block,1
Julia,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,11,14,3,block,1
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,0,0,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,0,2,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,0,4,0,block,1
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,1,0,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,1,2,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,1,4,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,1,6,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,2,0,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,2,2,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,2,4,0,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,3,0,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,3,2,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,3,4,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,4,0,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,4,2,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,5,0,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,5,2,1,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,6,0,2,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,6,2,2,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,7,0,2,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,7,2,2,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,8,0,2,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,9,0,3,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,9,2,3,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,10,0,3,block,0
Julia,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,11,0,3,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,0,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,2,0,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,4,0,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,6,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,8,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,10,0,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,12,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,14,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,0,16,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,1,0,0,block,6
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,1,2,0,block,4
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,1,4,0,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,1,6,0,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,1,8,0,block,2
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,2,0,0,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,2,2,0,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,2,4,0,block,2
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,3,0,1,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,3,2,1,block,1
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,3,4,1,block,2
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,4,0,1,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,5,0,1,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,6,0,2,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,6,2,2,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,7,0,2,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,8,0,2,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,9,0,3,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,10,0,3,block,0
Julia,7109-2ef42705-61df-4552-a6ce-e9e6966dd760,11,0,3,block,0
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,0,0,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,0,2,0,block,2
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,0,4,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,0,6,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,0,8,0,block,2
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,0,10,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,0,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,2,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,4,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,6,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,8,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,10,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,1,12,0,block,0
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,0,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,2,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,4,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,6,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,8,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,10,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,12,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,2,14,0,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,0,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,2,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,4,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,6,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,8,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,10,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,12,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,3,14,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,0,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,2,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,4,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,6,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,8,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,10,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,12,1,block,0
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,4,14,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,0,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,2,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,4,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,6,1,block,0
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,8,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,10,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,12,1,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,5,14,1,block,2
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,0,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,2,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,4,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,6,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,8,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,10,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,12,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,6,14,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,0,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,2,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,4,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,6,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,8,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,10,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,12,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,7,14,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,0,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,2,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,4,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,6,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,8,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,10,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,12,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,8,14,2,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,0,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,2,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,4,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,6,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,8,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,10,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,12,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,9,14,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,0,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,2,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,4,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,6,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,8,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,10,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,12,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,10,14,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,0,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,2,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,4,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,6,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,8,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,10,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,12,3,block,1
Julia,2391-2f396ec8-517f-4681-b366-51f930bcac22,11,14,3,block,1
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,0,0,0,block,1
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,1,0,0,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,2,0,0,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,3,0,1,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,4,0,1,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,5,0,1,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,6,0,2,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,7,0,2,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,8,0,2,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,9,0,3,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,10,0,3,block,0
Julia,9387-db1af5ad-b089-48ad-a730-baee40f08177,11,0,3,block,0
Julia,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,0,0,0,block,2
Julia,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,0,2,0,block,2
Julia,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,0,4,0,block,2
Julia,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,0,6,0,block,1
Julia,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,0,8,0,block,1
